feature,importance
Refugees and others of concern to UNHCR (in thousands)_19.9,0.00033092394355069445
International trade: Exports (million US$)_29992,0.00033078103231848235
Refugees and others of concern to UNHCR (in thousands)_11.0,0.0003293611620409224
Threatened species (number)_40.3,0.0003285295612008319
"Pop using improved drinking water (urban/rural, %)_50.4/6.7",0.0003273462842023139
Refugees and others of concern to UNHCR (in thousands)_14.4,0.0003271970899216027
Education: Tertiary gross enrol ratio (f/m per 100 pop)_100.7/75.9,0.00032712466067167994
Education: Primary gross enrol ratio (f/m per 100 pop)_106.8/107.9,0.0003267395219356069
"Population age distribution (0-14 / 60+ years, %)_39.9/5.0",0.000326427562965475
"Population age distribution (0-14 / 60+ years, %)_27.9/11.1",0.00032376600065234614
International trade: Exports (million US$)_25025,0.00032359929177254855
"Population age distribution (0-14 / 60+ years, %)_14.4/19.0",0.0003234368777711697
Infant mortality rate (per 1000 live births_65.4,0.0003226467681943978
Energy supply per capita (Gigajoules)_93.4/75.5,0.0003199755302585876
Agricultural production index (2004-2006=100)_157,0.0003195815992018579
Threatened species (number)_40.6,0.00031907560094103526
Energy supply per capita (Gigajoules)_93.7/90.3,0.0003187192990418092
"Pop using improved drinking water (urban/rural, %)_95.2/75.9",0.0003183800737684822
Threatened species (number)_3.9,0.0003182480977417523
Threatened species (number)_34.5,0.0003178218694630894
Education: Primary gross enrol ratio (f/m per 100 pop)_97.3/96.9,0.0003178088211045074
Education: Secondary gross enrol ratio (f/m per 100 pop)_101.3/100.0,0.0003177485023563336
Threatened species (number)_23.4,0.0003176594013134313
"Population age distribution (0-14 / 60+ years, %)_29.0/8.4",0.0003170128524340976
Energy supply per capita (Gigajoules)_97.2/66.7,0.00031674778786393147
"Population age distribution (0-14 / 60+ years, %)_27.4/11.4",0.0003165796707512579
International trade: Exports (million US$)_120,0.00031606531630144383
"Population age distribution (0-14 / 60+ years, %)_20.3/16.0",0.00031576779996532293
Education: Secondary gross enrol ratio (f/m per 100 pop)_87.1/81.4,0.0003150651296171476
"Pop using improved drinking water (urban/rural, %)_98.4/98.4",0.0003149865018869262
"Pop using improved drinking water (urban/rural, %)_88.4/61.4",0.0003146815858781233
Education: Primary gross enrol ratio (f/m per 100 pop)_107.9/107.4,0.00031408852514697237
Education: Secondary gross enrol ratio (f/m per 100 pop)_92.8/88.0,0.0003137602247655838
Infant mortality rate (per 1000 live births_13.7,0.00031317151249980654
Education: Secondary gross enrol ratio (f/m per 100 pop)_32.2/35.1,0.0003125993973778736
Education: Tertiary gross enrol ratio (f/m per 100 pop)_51.3/41.4,0.0003121226105243499
"Pop using improved drinking water (urban/rural, %)_82.5/53.2",0.0003121199602067431
Threatened species (number)_10.4,0.0003120701732353176
Refugees and others of concern to UNHCR (in thousands)_176.2,0.00031162903971115977
Infant mortality rate (per 1000 live births_67.3,0.0003096519024932186
Threatened species (number)_33.4,0.00030948444140158256
Refugees and others of concern to UNHCR (in thousands)_418.4,0.0003092123397255639
"Population age distribution (0-14 / 60+ years, %)_16.8/18.5",0.00030912649939898447
International migrant stock (000/% of total pop)_5.2/0.9,0.00030812889242395804
Infant mortality rate (per 1000 live births_4.9,0.00030755671576954065
"Pop using improved drinking water (urban/rural, %)_94.1/95.2",0.0003058069240271512
